10.4137/BECB.S34255	1179-5972
10.4213/mzm333	0025-567X
10.4213/mzm3362	0025-567X
10.4213/mzm5251	0025-567X
10.4213/rm3273	0042-1316
10.4213/rm5	0042-1316
10.4213/rm756	0042-1316
10.4217/OPR.2012.34.3.305	1598-141X
10.4217/OPR.2014.36.1.049	1598-141X
10.4218/etrij.08.0107.0167	1225-6463
10.4219/jaa-2007-559	1932-202X
10.4219/jsge-2000-631	1077-4610
10.4219/jsge-2005-473	1077-4610
10.4225/13/581fcdf8dc329	null
10.4225/49/588eeeeda28af	null
10.4225/50/5580B1E02DAF9	null
10.4225/50/58107ce163e0c	null
10.4225/72/56E976A071650	null
10.4225/72/59888e8ab2122	null
10.4225/72/5a2aa8fa3fde0	null
10.4225/75/5a838d3b1d27f	null
10.4225/75/5a838d3b1d27f''	null
10.4227/11/504586DEB599D	null
10.4227/11/504591DB5259B	null
10.4227/11/50459F7BD4D0B	null
10.4227/11/50495ba10e3e0	null
10.4229/24thEUPVSEC2009-3CO.7.4	null
10.4230/DagMan.5.1.25	null
10.4230/DagRep.3.9.130	null
10.4230/DagRep.3.9.34	null
10.4230/DagRep.4.1.125	null
10.4230/LIPIcs.APPROX-RANDOM.2014.371	null
10.4230/LIPIcs.ECOOP.2016.11	null
10.4230/LIPIcs.ESA.2017.9	null
10.4230/LIPIcs.ICALP.2016.109	null
10.4230/LIPIcs.ICALP.2016.126	null
10.4230/LIPIcs.ICALP.2017.79	null
10.4230/LIPIcs.IPEC.2015.282	null
10.4230/LIPIcs.SEA.2017.21	null
10.4230/LIPIcs.STACS.2008.1328	null
10.4230/LIPIcs.STACS.2009.1825	null
10.4230/LIPIcs.STACS.2010.2470	null
10.4230/LIPIcs.STACS.2014.137	null
10.4230/LIPIcs.STACS.2015.649	null
10.4230/LIPIcs.STACS.2016.17	null
10.4230/LIPIcs.SWAT.2016.0	null
10.4230/LIPIcs.SoCG.2016.3	null
10.4230/lipics.snapl.2015.274	null
10.4231/D30Z70W7G)	null
10.4231/D34B2X430)	null
10.4231/D3V698C9Z	null
10.4231/d3542jb3c	null
10.4231/d3c24qp1w	null
10.4232/1.10789	null
10.4232/1.12848	null
10.4232/1.3176	null
10.4233/uuid:22ccedfa-545a-4a34-bd03-64a40ede90ac	null
10.4233/uuid:58f16f99-afc1-4713-842e-562412583340	null
10.4233/uuid:b574eb40-6bff-49d4-9ba2-bed4a588d850	null
10.4233/uuid:f45f0548-d5ec-46aa-be7e-7f1c2b57590d	null
10.4236/aa.2016.6100	null
10.4236/aa.2016.61002	2163-9353
10.4236/aasoci.2012.24034	2165-4328
10.4236/aasoci.2012.24038	2165-4328
10.4236/ad.2016.41001	2331-1959
10.4236/ad.2016.42007	2331-1959
10.4236/am.2013.47146	2152-7385
10.4236/as.2015.61005	2156-8553
10.4236/fns.2015.617166	2157-944X
10.4236/health.2012.49100	1949-4998
10.4236/jmp.2013.45088	2153-1196
10.4236/jmp.2015.614217	2153-1196
10.4236/jsea.2013.63013	1945-3116
10.4236/jwarp.2012.45033	1945-3094
10.4236/jwarp.2016.88065	1945-3094
10.4236/psych.2016.77098	2152-7180
10.4238/2011.November.22.2	1676-5680
10.4238/2011.November.9.1	1676-5680
10.4238/2013.July.30.11	1676-5680
10.4238/2013.November.11.1	1676-5680
10.4238/2013.October.15.2	1676-5680
10.4238/2013.august.29.5	1676-5680
10.4238/2014.April.16.11	1676-5680
10.4238/2014.December.18.2	1676-5680
10.4238/2014.February.20.4	1676-5680
10.4238/2014.January.28.10	1676-5680
10.4238/2014.June.17.3	1676-5680
10.4238/2014.March.12.13	1676-5680
10.4238/2014.May.30.9	1676-5680
10.4238/2014.October.20.12	1676-5680
10.4238/2015.August.28.14	1676-5680
10.4238/2015.January.26.5	1676-5680
10.4238/2015.July.3.7	1676-5680
10.4238/2015.June.12.8	1676-5680
10.4238/gmr.15027818	1676-5680
10.4238/vol10-1gmr1048	1676-5680
10.4238/vol10-1gmr982	1676-5680
10.4238/vol10-2gmr969	1676-5680
10.4238/vol7-4gmr472	1676-5680
10.4238/vol8-2kerr004	1676-5680
10.4238/vol8-2kerr008	1676-5680
10.4238/vol8-2kerr012	1676-5680
10.4238/vol8-2kerr015	1676-5680
10.4238/vol8-2kerr026	1676-5680
10.4238/vol8-2kerr029	1676-5680
10.4238/vol8-2kerr030	1676-5680
10.4238/vol8-2kerr032	1676-5680
10.4238/vol9-1gmr682	1676-5680
10.4238/vol9-2gmr775	1676-5680
10.4238/vol9-2gmr805	1676-5680
10.4238/vol9-4gmr943	1676-5680
10.4239/WJD.v3.i3.38	1948-9358
10.4239/wjd.v1.i3.68	1948-9358
10.4239/wjd.v3.i3.38	1948-9358
10.4239/wjd.v5.i1.1	1948-9358
10.4239/wjd.v5.i3.316	1948-9358
10.4239/wjd.v5.i4.505	1948-9358
10.4239/wjd.v6.i1.151	1948-9358
10.4239/wjd.v6.i1.167	1948-9358
10.4239/wjd.v6.i1.30	1948-9358
10.4239/wjd.v6.i1.37	1948-9358
10.4239/wjd.v7.i5.89	1948-9358
10.4239/wjd.v8.i2.66	1948-9358
10.4240/WJGS.v7.i3.25	1948-9366
10.4240/wjgs.v2.i5.153	1948-9366
10.4240/wjgs.v3.i1.1	1948-9366
10.4240/wjgs.v7.i10.243	1948-9366
10.4242/BalisageVol1.Schonefeld01	null
10.4242/BalisageVol3.Kay01	null
10.4242/BalisageVol3.Peroni01	null
10.4242/BalisageVol5.Kay01	null
10.4242/BalisageVol6.Beck01	null
10.4242/BalisageVol7.Delpratt01	null
10.4242/BalisageVol8.Piez01	null
10.4244/EIJV10I4A86	1774-024X
10.4244/EIJV11I1A11	1774-024X
10.4244/EIJV5IFA3	1774-024X
10.4244/EIJV8I10A179	1774-024X
10.4244/EIJV8I4A78	1774-024X
10.4244/EIJV9I11A217	1774-024X
10.4244/EIJY15M12_01	1774-024X
10.4244/eijv6i1a24	1774-024X
10.4244/eijv9i1a14	1774-024X
10.4245/sponge.v2i1.3511	1913-0465
10.4245/sponge.v2i1.4895	1913-0465
10.4245/sponge.v7i1.19556	1913-0465
10.4248/IJOS10008	1674-2818
10.4248/IJOS11005	1674-2818
10.4248/IJOS11014	1674-2818
10.4248/IJOS11044	1674-2818
10.4249/scholarpedia.10491	1941-6016
10.4249/scholarpedia.10599	1941-6016
10.4249/scholarpedia.11419	1941-6016
10.4249/scholarpedia.11471	1941-6016
10.4249/scholarpedia.1300	1941-6016
10.4249/scholarpedia.1332	1941-6016
10.4249/scholarpedia.1333	1941-6016
10.4249/scholarpedia.1348	1941-6016
10.4249/scholarpedia.1349	1941-6016
10.4249/scholarpedia.1362	1941-6016
10.4249/scholarpedia.1363	1941-6016
10.4249/scholarpedia.1365	1941-6016
10.4249/scholarpedia.1379	1941-6016
10.4249/scholarpedia.1398	1941-6016
10.4249/scholarpedia.1462	1941-6016
10.4249/scholarpedia.1468	1941-6016
10.4249/scholarpedia.1488	1941-6016
10.4249/scholarpedia.1538	1941-6016
10.4249/scholarpedia.1567	1941-6016
10.4249/scholarpedia.1583	1941-6016
10.4249/scholarpedia.1633	1941-6016
10.4249/scholarpedia.1635	1941-6016
10.4249/scholarpedia.1657	1941-6016
10.4249/scholarpedia.1661	1941-6016
10.4249/scholarpedia.1667	1941-6016
10.4249/scholarpedia.1717	1941-6016
10.4249/scholarpedia.1725	1941-6016
10.4249/scholarpedia.1747	1941-6016
10.4249/scholarpedia.1796	1941-6016
10.4249/scholarpedia.1806	1941-6016
10.4249/scholarpedia.1836	1941-6016
10.4249/scholarpedia.1877	1941-6016
10.4249/scholarpedia.1887	1941-6016
10.4249/scholarpedia.1902	1941-6016
10.4249/scholarpedia.2072	1941-6016
10.4249/scholarpedia.2111	1941-6016
10.4249/scholarpedia.2123	1941-6016
10.4249/scholarpedia.2295	1941-6016
10.4249/scholarpedia.2309	1941-6016
10.4249/scholarpedia.2318	1941-6016
10.4249/scholarpedia.2411	1941-6016
10.4249/scholarpedia.2433	1941-6016
10.4249/scholarpedia.2698	1941-6016
10.4249/scholarpedia.2855	1941-6016
10.4249/scholarpedia.2859	1941-6016
10.4249/scholarpedia.2936	1941-6016
10.4249/scholarpedia.3013	1941-6016
10.4249/scholarpedia.3060	1941-6016
10.4249/scholarpedia.30710	1941-6016
10.4249/scholarpedia.30946	1941-6016
10.4249/scholarpedia.3100	1941-6016
10.4249/scholarpedia.3105	1941-6016
10.4249/scholarpedia.31358	1941-6016
10.4249/scholarpedia.31410	1941-6016
10.4249/scholarpedia.3146	1941-6016
10.4249/scholarpedia.3163	1941-6016
10.4249/scholarpedia.31673	1941-6016
10.4249/scholarpedia.32147	1941-6016
10.4249/scholarpedia.32413	1941-6016
10.4249/scholarpedia.32832	1941-6016
10.4249/scholarpedia.3330	1941-6016
10.4249/scholarpedia.3448	1941-6016
10.4249/scholarpedia.3487	1941-6016
10.4249/scholarpedia.3644	1941-6016
10.4249/scholarpedia.3681	1941-6016
10.4249/scholarpedia.3706	1941-6016
10.4249/scholarpedia.3858	1941-6016
10.4249/scholarpedia.3930	1941-6016
10.4249/scholarpedia.3967	1941-6016
10.4249/scholarpedia.3991	1941-6016
10.4249/scholarpedia.4064	1941-6016
10.4249/scholarpedia.4079	1941-6016
10.4249/scholarpedia.4103	1941-6016
10.4249/scholarpedia.4116	1941-6016
10.4249/scholarpedia.4125	1941-6016
10.4249/scholarpedia.4237	1941-6016
10.4249/scholarpedia.4277	1941-6016
10.4249/scholarpedia.4308	1941-6016
10.4249/scholarpedia.4333	1941-6016
10.4249/scholarpedia.4407	1941-6016
10.4249/scholarpedia.4475	1941-6016
10.4249/scholarpedia.4605	1941-6016
10.4249/scholarpedia.4606	1941-6016
10.4249/scholarpedia.4650	1941-6016
10.4249/scholarpedia.4672	1941-6016
10.4249/scholarpedia.4731	1941-6016
10.4249/scholarpedia.4900	1941-6016
10.4249/scholarpedia.5230	1941-6016
10.4249/scholarpedia.5307	1941-6016
10.4249/scholarpedia.5345	1941-6016
10.4249/scholarpedia.5352	1941-6016
10.4249/scholarpedia.5393	1941-6016
10.4249/scholarpedia.5538	1941-6016
10.4249/scholarpedia.5947	1941-6016
10.4249/scholarpedia.6441	1941-6016
10.4249/scholarpedia.6477	1941-6016
10.4249/scholarpedia.6524	1941-6016
10.4249/scholarpedia.6639	1941-6016
10.4249/scholarpedia.6642	1941-6016
10.4249/scholarpedia.6915	1941-6016
10.4249/scholarpedia.7117	1941-6016
10.4249/scholarpedia.7125	1941-6016
10.4249/scholarpedia.7280	1941-6016
10.4249/scholarpedia.7294	1941-6016
10.4249/scholarpedia.7374	1941-6016
10.4249/scholarpedia.7375	1941-6016
10.4249/scholarpedia.7454	1941-6016
10.4249/scholarpedia.7476	1941-6016
10.4249/scholarpedia.7483	1941-6016
10.4249/scholarpedia.7487	1941-6016
10.4249/scholarpedia.7504	1941-6016
10.4249/scholarpedia.7515	1941-6016
10.4249/scholarpedia.7529	1941-6016
10.4249/scholarpedia.7761	1941-6016
10.4249/scholarpedia.7763	1941-6016
10.4249/scholarpedia.7902	1941-6016
10.4249/scholarpedia.8244	1941-6016
10.4249/scholarpedia.8378	1941-6016
10.4249/scholarpedia.8520	1941-6016
10.4249/scholarpedia.8584	1941-6016
10.4249/scholarpedia.8615	1941-6016
10.4249/scholarpedia.8708	1941-6016
10.4249/scholarpedia.8741	1941-6016
10.4249/scholarpedia.8821	1941-6016
10.4249/scholarpedia.9076	1941-6016
10.4249/scholarpedia.9489	1941-6016
10.4249/scholarpedia.9594	1941-6016
10.4249/scholarpedia.9685	1941-6016
10.4249/scholarpedia.9835	1941-6016
10.4249/scholarpedia.9836	1941-6016
10.4249/scholarpedia.9886	1941-6016
10.4251/wjgo.v2.i12.429	1948-5204
10.4251/wjgo.v2.i4.192	1948-5204
10.4251/wjgo.v2.i8.332	1948-5204
10.4251/wjgo.v5.i2.12	1948-5204
10.4251/wjgo.v5.i3.43	1948-5204
10.4251/wjgo.v6.i10.381	1948-5204
10.4251/wjgo.v6.i2.41	1948-5204
10.4251/wjgo.v6.i5.112	1948-5204
10.4251/wjgo.v6.i6.177	1948-5204
10.4251/wjgo.v6.i7.225	1948-5204
10.4251/wjgo.v7.i5.30	1948-5204
10.4251/wjgo.v8.i3.235	1948-5204
10.4251/wjgo.v9.i2.50	1948-5204
10.4252/wjsc.v6.i3.266	1948-0210
10.4252/wjsc.v6.i4.391	1948-0210
10.4252/wjsc.v6.i4.404	1948-0210
10.4252/wjsc.v7.i1.27	1948-0210
10.4252/wjsc.v7.i2.477	1948-0210
10.4252/wjsc.v7.i4.711	1948-0210
10.4253/wjge.v2.i8.298	1948-5190
10.4253/wjge.v5.i7.352	1948-5190
10.4253/wjge.v7.i11.1039	1948-5190
10.4253/wjge.v7.i18.1268	1948-5190
10.4253/wjge.v7.i4.336	1948-5190
10.4253/wjge.v7.i9.847	1948-5190
10.4254/wjh.v2.i11.410	1948-5182
10.4254/wjh.v2.i7.275	1948-5182
10.4254/wjh.v3.i10.275	1948-5182
10.4254/wjh.v3.i5.108	1948-5182
10.4254/wjh.v4.i3.68	1948-5182
10.4254/wjh.v4.i3.81	1948-5182
10.4254/wjh.v5.i5.237	1948-5182
10.4254/wjh.v5.i7.353	1948-5182
10.4254/wjh.v5.i9.496	1948-5182
10.4254/wjh.v6.i1.9	1948-5182
10.4254/wjh.v6.i11.800	1948-5182
10.4254/wjh.v6.i4.178	1948-5182
10.4254/wjh.v6.i8.538	1948-5182
10.4254/wjh.v7.i10.1312	1948-5182
10.4254/wjh.v7.i13.1782	1948-5182
10.4254/wjh.v7.i2.285	1948-5182
10.4254/wjh.v7.i23.2470	1948-5182
10.4254/wjh.v7.i3.327	1948-5182
10.4254/wjh.v8.i27.1119	1948-5182
10.4255/mcpharmacol.10.21	null
10.4258/hir.2013.19.3.229	2093-3681
10.4258/hir.2014.20.1.11	2093-3681
10.4258/hir.2015.21.2.67	2093-3681
10.4258/hir.2015.21.2.67&code=1088HIR&vmode=FULL	null
10.4258/hir.2015.21.4.223	2093-3681
10.4258/hir.2016.22.3.164	2093-3681
10.4259/ibk.37.945	1884-0051
10.4261/1305-3825.DIR.2054-08.1	1305-3825
10.4261/1305-3825.DIR.2654-09.1	1305-3825
10.4261/1305-3825.DIR.3116-09.0	1305-3825
10.4261/1305-3825.DIR.4279-11.0	1305-3825
10.4261/1305-3825.dir.3332-10.3	1305-3825
10.4263/jorthoptic.27.153	1883-9215
10.4265/-73.2458	null
10.4265/bio.16.171	1884-0205
10.4265/bio.17.101	1342-4815
10.4265/bio.22.55	1342-4815
10.4267/10608/3906	1958-5381
10.4267/10608/4361	1958-5381
10.4267/2042/293	1634-0744
10.4267/2042/35594	1634-0744
10.4267/2042/38203	1768-3262
10.4267/2042/38522	1768-3262
10.4267/2042/44650	1768-3262
10.4267/2042/46095	1634-0744
10.4267/2042/46096	1634-0744
10.4267/2042/46939	1768-3262
10.4267/2042/47505	1634-0744
10.4267/2042/48307	1634-0744
10.4267/2042/49315	1765-2553
10.4267/2042/49316	1634-0744
10.4267/2042/51214	1634-0744
10.4267/2042/52060	0026-1181
10.4267/2042/53034	1634-0744
10.4267/2042/54003	1634-0744
10.4267/2042/54149	1634-0744
10.4267/2042/54151	1634-0744
10.4267/2042/56006	1634-0744
10.4267/2042/56413	1768-3262
10.4267/2042/56440	1768-3262
10.4267/2042/56744	1634-0744
10.4267/2042/57945	1634-0744
10.4267/2042/57947	1634-0744
10.4267/2042/57951	1634-0744
10.4267/2042/58204	1634-0744
10.4267/2042/58977	1634-0744
10.4267/2042/59920	1634-0744
10.4267/2042/60676	1634-0744
10.4267/2042/60677	1634-0744
10.4267/2042/64289	1634-0744
10.4267/2042/66094	1634-0744
10.4268/cjcmm20101229	1001-5302
10.4268/cjcmm20101603	1001-5302
10.4268/cjcmm20130331	1001-5302
10.4269/ajtmh.12-0690	0002-9637
10.4269/ajtmh.12-0730	0002-9637
10.4269/ajtmh.13-0090	0002-9637
10.4269/ajtmh.13-0119	0002-9637
10.4269/ajtmh.13-0209	0002-9637
10.4269/ajtmh.13-0229PMID:243060302	null
10.4269/ajtmh.13-0255	0002-9637
10.4269/ajtmh.13-0286	0002-9637
10.4269/ajtmh.13-0399	0002-9637
10.4269/ajtmh.13-0509	0002-9637
10.4269/ajtmh.13-0554	0002-9637
10.4269/ajtmh.13-0722	0002-9637
10.4269/ajtmh.13-0723	0002-9637
10.4269/ajtmh.13-0726	0002-9637
10.4269/ajtmh.14-0413	0002-9637
10.4269/ajtmh.14-0446	0002-9637
10.4269/ajtmh.14-0515	0002-9637
10.4269/ajtmh.14-0520	0002-9637
10.4269/ajtmh.14-0525	0002-9637
10.4269/ajtmh.14-0816	0002-9637
10.4269/ajtmh.15-0022	0002-9637
10.4269/ajtmh.15-0196	0002-9637
10.4269/ajtmh.15-0540	0002-9637
10.4269/ajtmh.15-0668	0002-9637
10.4269/ajtmh.16-0434	0002-9637
10.4269/ajtmh.16-0672	0002-9637
10.4269/ajtmh.16-0856	0002-9637
10.4269/ajtmh.17-0343	0002-9637
10.4269/ajtmh.17-0396	0002-9637
10.4269/ajtmh.17-0870	0002-9637
10.4269/ajtmh.1937.s1-17.237	0002-9637
10.4269/ajtmh.1941.s1-21.455	0002-9637
10.4269/ajtmh.1953.2.970	0002-9637
10.4269/ajtmh.1963.12.121	0002-9637
10.4269/ajtmh.1968.17.183	0002-9637
10.4269/ajtmh.1975.24.664	0002-9637
10.4269/ajtmh.1977.26.1088	0002-9637
10.4269/ajtmh.1978.27.1210	0002-9637
10.4269/ajtmh.1978.27.600	0002-9637
10.4269/ajtmh.1980.29.667	0002-9637
10.4269/ajtmh.1981.30.149	0002-9637
10.4269/ajtmh.1982.31.1114	0002-9637
10.4269/ajtmh.1982.31.859	0002-9637
10.4269/ajtmh.1985.34.781	0002-9637
10.4269/ajtmh.1986.35.148	0002-9637
10.4269/ajtmh.1987.37.111	0002-9637
10.4269/ajtmh.1988.39.306	0002-9637
10.4269/ajtmh.1988.39.361	0002-9637
10.4269/ajtmh.1990.42.83	0002-9637
10.4269/ajtmh.1991.45.574	0002-9637
10.4269/ajtmh.1992.46.296	0002-9637
10.4269/ajtmh.1992.47.484	0002-9637
10.4269/ajtmh.1993.48.763	0002-9637
10.4269/ajtmh.1994.50.753	0002-9637
10.4269/ajtmh.1994.51.123	0002-9637
10.4269/ajtmh.1996.54.357	0002-9637
10.4269/ajtmh.1996.54.613	0002-9637
10.4269/ajtmh.1997.57.483	0002-9637
10.4269/ajtmh.1997.57.550	0002-9637
10.4269/ajtmh.1998.59.175	0002-9637
10.4269/ajtmh.1999.60.458	0002-9637
10.4269/ajtmh.1999.61.158	0002-9637
10.4269/ajtmh.2000.63.270	0002-9637
10.4269/ajtmh.2001.64.24	0002-9637
10.4269/ajtmh.2001.65.76	0002-9637
10.4269/ajtmh.2006.75.1.0750009	0002-9637
10.4269/ajtmh.2007.76.865	null
10.4269/ajtmh.2008.78.188	null
10.4269/ajtmh.2009.08-0625	0002-9637
10.4269/ajtmh.2009.09-0109	0002-9637
10.4269/ajtmh.2009.09-0202	0002-9637
10.4269/ajtmh.2009.09-0398a	0002-9637
10.4269/ajtmh.2009.81.443	null
10.4269/ajtmh.2010.09-0024	0002-9637
10.4269/ajtmh.2010.09-0233	0002-9637
10.4269/ajtmh.2010.09-0423	0002-9637
10.4269/ajtmh.2010.09-0544	0002-9637
10.4269/ajtmh.2010.09-0626	0002-9637
10.4269/ajtmh.2010.09-0662	0002-9637
10.4269/ajtmh.2010.09-0752	0002-9637
10.4269/ajtmh.2010.09-0790	0002-9637
10.4269/ajtmh.2010.09-0796	0002-9637
10.4269/ajtmh.2010.10-0036	0002-9637
10.4269/ajtmh.2010.10-0038	0002-9637
10.4269/ajtmh.2010.10-0231	0002-9637
10.4269/ajtmh.2011.10-0189	0002-9637
10.4269/ajtmh.2011.10-0312	0002-9637
10.4269/ajtmh.2011.10-0355	0002-9637
10.4269/ajtmh.2011.10-0480	0002-9637
10.4269/ajtmh.2011.11-0021	0002-9637
10.4269/ajtmh.2011.11-0114a	0002-9637
10.4269/ajtmh.2011.11-0214	0002-9637
10.4269/ajtmh.2011.11-0288	0002-9637
10.4269/ajtmh.2011.11-0323	0002-9637
10.4269/ajtmh.2011.11-0359	0002-9637
10.4269/ajtmh.2012.11-0485	0002-9637
10.4269/ajtmh.2012.11-0557	0002-9637
10.4269/ajtmh.2012.11-0597	0002-9637
10.4269/ajtmh.2012.11-0739	0002-9637
10.4269/ajtmh.2012.11-0743	0002-9637
10.4269/ajtmh.2012.12-0025	0002-9637
10.4269/ajtmh.2012.12-0102	0002-9637
10.4269/ajtmh.2012.12-0136	0002-9637
10.4269/ajtmh.2012.12-0340	0002-9637
10.4269/ajtmh.2012.12-0354	0002-9637
10.4271/190026	null
10.4271/1999-01-1384	null
10.4271/1999-01-2096	null
10.4271/1999-01-2702	null
10.4271/2000-01-0002	null
10.4271/2000-01-0617	null
10.4271/2001-01-1239	null
10.4271/2002-01-2341	null
10.4271/2004-01-0606	null
10.4271/2004-01-1308	null
10.4271/2004-01-1341	null
10.4271/2004-01-1610	null
10.4271/2005-01-0161	null
10.4271/2005-01-0905	null
10.4271/2005-01-2727	null
10.4271/2006-01-1019	null
10.4271/2006-01-1362	null
10.4271/2006-01-1499	null
10.4271/2006-01-2287	null
10.4271/2007-01-0109	null
10.4271/2007-01-0445	null
10.4271/2007-01-3286	null
10.4271/2007-01-4000	null
10.4271/2008-01-0203	null
10.4271/2008-01-2094	null
10.4271/2008-01-2965	1946-4002
10.4271/2009-01-1102	1946-3944
10.4271/2009-01-1134	null
10.4271/2009-01-2745	null
10.4271/2009-26-0057	null
10.4271/2009-28-0006	null
10.4271/2010-01-1784	null
10.4271/2010-01-1999	null
10.4271/2010-01-2185	null
10.4271/2010-36-0320	null
10.4271/2011-01-0269	null
10.4271/2011-01-0849	null
10.4271/2011-01-0887	1946-3944
10.4271/2011-01-0981	1946-3987
10.4271/2011-01-1184	null
10.4271/2011-01-1388	null
10.4271/2011-01-2221	1946-3944
10.4271/2011-24-0033	null
10.4271/2011-38-0058	null
10.4271/2012-01-1941	1946-3928
10.4271/2013-01-0308	null
10.4271/2013-01-0590	1946-3944
10.4271/2013-01-1035	null
10.4271/2013-01-1274	null
10.4271/2013-01-2303	1946-3901
10.4271/2013-01-2569	null
10.4271/2013-01-2682	null
10.4271/2014-01-1218	1946-3944
10.4271/2014-01-1226	1946-3960
10.4271/2014-01-1300	1946-3944
10.4271/2014-01-2688	1946-3944
10.4271/2015-01-0672	null
10.4271/2015-01-0834	1946-3944
10.4271/2015-01-2422	null
10.4271/2015-01-2465	null
10.4271/2016-01-1185	null
10.4271/2016-01-1187	null
10.4271/2016-01-1192	2167-4205
10.4271/2016-01-2263	null
10.4271/2017-01-0713	null
10.4271/2017-01-1245	null
10.4271/400032	null
10.4271/540256	null
10.4271/560038	null
10.4271/590176	null
10.4271/630386	null
10.4271/640455	null
10.4271/640823	null
10.4271/670179	null
10.4271/670925	null
10.4271/680453	null
10.4271/690028	null
10.4271/690055	null
10.4271/690454	null
10.4271/750178	null
10.4271/770339	null
10.4271/780910	null
10.4271/800003	null
10.4271/820392	null
10.4271/821093	null
10.4271/831390	null
10.4271/840341	null
10.4271/841163	null
10.4271/850024	null
10.4271/851652	null
10.4271/861041	null
10.4271/870059	null
10.4271/880217	null
10.4271/881071	null
10.4271/890178	null
10.4271/890189	null
10.4271/891978	null
10.4271/900840	null
10.4271/901747	null
10.4271/901987	null
10.4271/910621	null
10.4271/911003	null
10.4271/911460	null
10.4271/912270	null
10.4271/920234	null
10.4271/930984	null
10.4271/930985	null
10.4271/930988	null
10.4271/931021	null
10.4271/940737	null
10.4271/950136	null
10.4271/950174	null
10.4271/950601	null
10.4271/950979	null
10.4271/960122	null
10.4271/961316	null
10.4271/981740	null
10.4271/983111	null
10.4274/Jcrpe.1098	1308-5727
10.4274/Jcrpe.1166	1308-5727
10.4274/Jcrpe.845	1308-5727
10.4274/Jcrpe.997	1308-5727
10.4274/Tjem.2064	1301-2193
10.4274/balkanmedj.2017.0111	2146-3123
10.4274/haseki.1388	1302-0072
10.4274/jcrpe.2495	1308-5727
10.4274/jcrpe.3557	1308-5727
10.4274/jcrpe.849	1308-5727
10.4274/jcrpe.851	1308-5727
10.4274/jcrpe.855	1308-5727
10.4274/jcrpe.v1i5.209	1308-5727
10.4274/jcrpe.v2i2.52	1308-5727
10.4274/tjod.97523	1307-699X
10.4276/030802213x13679275042762	0308-0226
10.4278/0890-1171-10.2.111	0890-1171
10.4278/0890-1171-10.4.282	0890-1171
10.4278/0890-1171-10.6.499	0890-1171
10.4278/0890-1171-11.2.87	0890-1171
10.4278/0890-1171-12.1.38	0890-1171
10.4278/0890-1171-12.2.112	0890-1171
10.4278/0890-1171-12.5.297	0890-1171
10.4278/0890-1171-14.1.31	0890-1171
10.4278/0890-1171-14.2.98	0890-1171
10.4278/0890-1171-14.5.277	0890-1171
10.4278/0890-1171-14.6.362	0890-1171
10.4278/0890-1171-15.1.45	0890-1171
10.4278/0890-1171-22.1.45	0890-1171
10.4278/0890-1171-9.4.261	0890-1171
10.4278/ajhp.071025115	0890-1171
10.4278/ajhp.080603-quan-76	0890-1171
10.4278/ajhp.081013-LIT-248	0890-1171
10.4278/ajhp.090123-QUAN-29	0890-1171
10.4278/ajhp.091029-quan-348	0890-1171
10.4278/ajhp.100304-ARB-73	0890-1171
10.4278/ajhp.120705-QUAN-325	0890-1171
10.4278/ajhp.130510-lit-237	0890-1171
10.4278/ajhp.130627-ARB-335	0890-1171
10.4278/ajhp.131107-QUAN-567	0890-1171
10.4278/ajhp.24.4.arb	0890-1171
10.4279/PIP.030003	1852-4249
10.4282/sosj1979.10.17	0388-3531
10.4284/0038-4038-2011.197	0038-4038
10.4284/0038-4038-2011.333	0038-4038
10.4284/sej.2010.76.3.678	0038-4038
10.4288/jafpos1956.7.1	0453-0691
10.4289/0013-8797-110.1.165	0013-8797
10.4289/0013-8797-110.1.186	0013-8797
10.4289/0013-8797-110.1.87	0013-8797
10.4289/0013-8797-110.4.1111	0013-8797
10.4289/0013-8797-111.1.166	0013-8797
10.4289/0013-8797-111.1.204	0013-8797
10.4289/0013-8797-111.1.239	0013-8797
10.4289/0013-8797-111.2.493	0013-8797
10.4289/0013-8797-111.4.769	0013-8797
10.4289/0013-8797.112.3.404	0013-8797
10.4289/0013-8797.112.4.490	0013-8797
10.4289/0013-8797.113.2.163	0013-8797
10.4289/0013-8797.114.1.5	0013-8797
10.4289/0013-8797.114.3.347	0013-8797
10.4289/0013-8797.115.1.37	0013-8797
10.4289/0013-8797.115.1.75	0013-8797
10.4289/0013-8797.115.1.9	0013-8797
10.4289/0013-8797.115.2.128	0013-8797
10.4289/0013-8797.115.2.173	0013-8797
10.4289/0013-8797.115.3.225	0013-8797
10.4289/0013-8797.116.3.243	0013-8797
10.4289/0013-8797.116.3.273	0013-8797
10.4289/0013-8797.117.1.62	0013-8797
10.4289/0013-8797.117.2.116	0013-8797
10.4289/0013-8797.119.1.90	0013-8797
10.4289/07-014.1	0013-8797
10.4289/07-060.1	0013-8797
10.4291/wjgp.v4.i3.47	2150-5330
10.4291/wjgp.v4.i4.91	2150-5330
10.4291/wjgp.v5.i2.71	2150-5330
10.4291/wjgp.v5.i3.213	2150-5330
10.4291/wjgp.v5.i4.384	2150-5330
10.4291/wjgp.v5.i4.450	2150-5330
10.4291/wjgp.v5.i4.467	2150-5330
10.4291/wjgp.v6.i4.219	2150-5330
10.4292/wjgpt.v4.i4.108	2150-5349
10.4292/wjgpt.v5.i1.40	2150-5349
10.4292/wjgpt.v5.i3.105	2150-5349
10.4292/wjgpt.v6.i4.207	2150-5349
